,index,020472 - 企業管理學系_招生名額:正取,020472 - 企業管理學系_招生名額:備取,020472 - 企業管理學系_原住民外加名額:正取,020472 - 企業管理學系_原住民外加名額:備取,020472 - 企業管理學系_離島外加名額:正取,020472 - 企業管理學系_離島外加名額:備取
213,213,,10003518,,,,
214,214,,10002313,,,,
215,215,,10006622,,,,
216,216,,10056006,,,,
217,217,,10002513,,,,
218,218,,10044731,,,,
219,219,,10102122,,,,
220,220,,10102208,,,,
221,221,,10156418,,,,
222,222,,10003434,,,,
223,223,,10038226,,,,
224,224,,10046115,,,,
225,225,,10023221,,,,
226,226,,10069001,,,,
227,227,,10010012,,,,
228,228,,10001535,,,,
229,229,,10018127,,,,
230,230,,10038328,,,,
231,231,,10090520,,,,
232,232,,10074617,,,,
233,233,,10201517,,,,
234,234,,10026717,,,,
235,235,,10006610,,,,
